ingredient_id,name,category
178,鮮奶,乳品類
179,鮮奶油,油脂與堅果種子類
180,吉利丁片,未分類
181,白色細砂糖,調味料及香辛料類
182,香草精,未分類
183,布丁杯,乳品類
184,蛤蜊,豆魚蛋肉類
185,魷魚片,豆魚蛋肉類
186,豬肉片,豆魚蛋肉類
187,芹菜,蔬菜類
188,牛肉碎,豆魚蛋肉類
189,韓式烤肉醬,調味料及香辛料類
190,生粉,油脂與堅果種子類
191,上湯,未分類
192,蒜/蒜茸,未分類
193,芝蔴,油脂與堅果種子類
194,豬絞肉3肥7瘦,豆魚蛋肉類
195,醃瓜仔,加工調理食品及其他類
196,荸薺,全榖雜糧類
197,在來米粉,加工調理食品及其他類
198,淨水,未分類
199,台灣竹山乾香菇(大),蔬菜類
200,台灣蝦皮,豆魚蛋肉類
201,台灣油蔥酥,調味料及香辛料類
202,南瓜,蔬菜類
203,乾香菇,蔬菜類
204,梅花豬肉絲,豆魚蛋肉類
205,米,全榖雜糧類
206,白胡椒,調味料及香辛料類
207,小黃瓜,水果類
208,細砂糖,糖類
209,盒裝豆腐,加工調理食品及其他類
210,金針菇,蔬菜類
211,青蔥切段,蔬菜類
212,水煮玉米,全榖雜糧類
213,白芝麻,油脂與堅果種子類
214,花生醬及椰奶,調味料及香辛料類
215,沙茶醬及醬油,調味料及香辛料類
216,奶油乳酪,油脂與堅果種子類
217,布丁,乳品類
218,蓬萊米粉,加工調理食品及其他類
219,豬肉(毽子肉),豆魚蛋肉類
220,老薑片,蔬菜類
221,蒜瓣,調味料及香辛料類
222,全脂鮮奶,乳品類
223,優格,乳品類
224,白芝麻醬,調味料及香辛料類
225,橄欖油,油脂與堅果種子類
226,孜然粉,加工調理食品及其他類
227,煙燻紅椒粉,加工調理食品及其他類
228,豬里肌肉片,豆魚蛋肉類
229,蒜泥,調味料及香辛料類
230,四季豆,加工調理食品及其他類
231,長辣椒,蔬菜類
232,朝天椒,蔬菜類
233,黑醋,水果類
234,韓國魚露,調味料及香辛料類
235,石斑魚片,豆魚蛋肉類
236,黃檸檬,水果類
237,拉麵,加工調理食品及其他類
238,大蝦,豆魚蛋肉類
239,糖心蛋,未分類
240,蔥白,蔬菜類
241,蔥綠,蔬菜類
242,小番茄,蔬菜類
243,三色腐竹絲,蔬菜類
244,洋蔥絲,蔬菜類
245,「烹大師」干貝風味,調味料及香辛料類
246,「烹大師」昆布風味,調味料及香辛料類
247,丁香魚,豆魚蛋肉類
248,柴魚片,豆魚蛋肉類
249,金蘭無添加原味醬油,調味料及香辛料類
250,油豆腐,加工調理食品及其他類
251,蒜味花生米,豆魚蛋肉類
252,乾辣椒段,蔬菜類
253,花椒粒,調味料及香辛料類
254,薑,調味料及香辛料類
255,番茄醬,蔬菜類
256,胡椒粉,調味料及香辛料類
257,高筋麵粉,全榖雜糧類
258,蝶豆花粉,加工調理食品及其他類
259,奶粉,乳品類
260,梯形吐司盒(大),全榖雜糧類
261,梯形吐司盒(小),全榖雜糧類
262,三層肉,豆魚蛋肉類
263,白北魚,豆魚蛋肉類
264,胡蘿蔔,蔬菜類
265,海鹽,調味料及香辛料類
266,紅蘿蔔絲,加工調理食品及其他類
267,韭菜,加工調理食品及其他類
268,蔥末,蔬菜類
269,韓式辣椒粉,調味料及香辛料類
270,薑泥,蔬菜類
271,魚露,調味料及香辛料類
272,米醋,調味料及香辛料類
273,羅漢果糖,糖類
274,芝麻油,油脂與堅果種子類
275,大蒜切末,調味料及香辛料類
276,無鹽奶油,油脂與堅果種子類
277,玫瑰鹽/海鹽,蔬菜類
278,羅勒葉粉,加工調理食品及其他類
279,豆干,加工調理食品及其他類
280,家常豆腐,加工調理食品及其他類
281,牛番茄,蔬菜類
282,橙蜜小番茄,蔬菜類
283,玉女小番茄,蔬菜類
284,桂花釀（或蜂蜜）,未分類
285,水蓮,調味料及香辛料類
